Maketu - Pongakawa,Motiti - Pongakawa,Otawa - Pongakawa,Pongakawa - Pongakawa,Pongakawa - Mount Maunganui North,Pongakawa - Palm Beach South-Gravatt,Pongakawa - Tauranga Hospital,Pongakawa - Tauranga Central,Pongakawa - Otawa,Pongakawa - Rangiuru,Pongakawa - Baypark-Kairua,Pongakawa - Mount Maunganui Central,Pongakawa - Wairakei,Pongakawa - Maketu,Pongakawa - Te Puke East,Pongakawa - Te Puke West,Pukehina Beach - Pongakawa,Rangiuru - Pongakawa,Te Puke East - Pongakawa,Te Puke West - Pongakawa,Wairakei - Pongakawa
,,,"[[-37.9916308, 176.5350308], [-37.9064248, 176.4339361]]",,,,,"[[-37.822116, 176.4751053], [-37.7429137, 176.3614688]]","[[-37.8506281, 176.4296983], [-37.7938451, 176.3636488]]",,"[[-37.8132593, 176.4843243], [-37.6425369, 176.186187]]",,,"[[-37.8162158, 176.562853], [-37.7916781, 176.3298928]]","[[-37.8248507, 176.4137746], [-37.7728476, 176.3068758]]",,"[[-37.8062295, 176.3747742], [-37.8385775, 176.3989236]]","[[-37.7821635, 176.3182266], [-37.7878143, 176.4803021]]","[[-37.7808447, 176.308621], [-37.796122, 176.4812288]]",
,,,"[[-37.838803, 176.3821097], [-37.8181795, 176.4121079]]",,,,,"[[-37.96837, 176.4564748], [-37.7166613, 176.284072]]","[[-37.8462459, 176.4550288], [-37.8048779, 176.4223863]]",,"[[-37.8381427, 176.4213539], [-37.6739733, 176.17889]]",,,"[[-37.8229848, 176.4855823], [-37.7950305, 176.3225259]]","[[-37.9622419, 176.5436609], [-37.7808539, 176.3115368]]",,"[[-37.777222, 176.3709655], [-37.8229848, 176.4855823]]","[[-37.7815461, 176.3292054], [-37.7874085, 176.4942984]]","[[-37.7808539, 176.3115368], [-37.8181443, 176.4152129]]",
,,,"[[-37.8223922, 176.4117205], [-37.8505544, 176.507039]]",,,,,"[[-37.8157909, 176.5138564], [-37.7670825, 176.3069603]]","[[-37.8277965, 176.3963839], [-37.825133, 176.3382071]]",,"[[-37.8132593, 176.4843243], [-37.6542517, 176.1989657]]",,,"[[-37.8360845, 176.433971], [-37.797066, 176.3185698]]","[[-37.8497381, 176.4271326], [-37.7808447, 176.308621]]",,"[[-37.8281702, 176.3811441], [-37.8242675, 176.4135804]]","[[-37.7894447, 176.3289159], [-37.8248478, 176.4127553]]",,
,,,"[[-37.9782795, 176.5651275], [-37.8872731, 176.5258894]]",,,,,"[[-37.8248507, 176.4137746], [-37.7753455, 176.2951477]]","[[-37.9064248, 176.4339361], [-37.807256, 176.4369396]]",,"[[-37.8242675, 176.4135804], [-37.6426199, 176.1856371]]",,,"[[-37.8872731, 176.5258894], [-37.7868205, 176.3220708]]","[[-37.8462459, 176.4550288], [-37.780821, 176.3166409]]",,"[[-37.7959726, 176.4117676], [-37.8170225, 176.4627897]]","[[-37.7948961, 176.3270268], [-37.8371346, 176.4734481]]",,
,,,"[[-37.9520258, 176.446104], [-37.9617927, 176.4355576]]",,,,,"[[-37.8381427, 176.4213539], [-37.7623243, 176.230403]]","[[-37.8992575, 176.5513958], [-37.8619586, 176.3276715]]",,"[[-37.8771966, 176.529182], [-37.6670759, 176.199052]]",,,"[[-37.8345821, 176.6082463], [-37.7936736, 176.3242594]]","[[-37.8213214, 176.5811625], [-37.7916006, 176.3090695]]",,"[[-37.7777922, 176.3718026], [-37.796122, 176.4812288]]","[[-37.7955371, 176.3176769], [-37.8424402, 176.5331189]]",,
,,,"[[-37.940655, 176.5136743], [-37.8157909, 176.5138564]]",,,,,,"[[-37.838803, 176.3821097], [-37.7570085, 176.3502399]]",,"[[-37.8204305, 176.4775971], [-37.642797, 176.1866053]]",,,"[[-37.8181443, 176.4152129], [-37.7886792, 176.3352638]]","[[-37.8355081, 176.6004718], [-37.780821, 176.3166409]]",,"[[-37.8579487, 176.3088972], [-37.8181443, 176.4152129]]","[[-37.7931072, 176.328682], [-37.8160768, 176.5134544]]",,
,,,"[[-37.8160768, 176.5134544], [-37.9034589, 176.4162829]]",,,,,,"[[-37.822116, 176.4751053], [-37.7733247, 176.4562292]]",,"[[-37.8385775, 176.3989236], [-37.6595619, 176.2036659]]",,,"[[-37.9622419, 176.5436609], [-37.7832742, 176.3246941]]","[[-37.8248478, 176.4127553], [-37.7810871, 176.3104482]]",,"[[-37.7882542, 176.3704461], [-37.8215542, 176.4114063]]","[[-37.7898933, 176.3169843], [-37.7909565, 176.46572]]",,
,,,"[[-37.8387543, 176.4736138], [-37.8771966, 176.529182]]",,,,,,"[[-37.832355, 176.5897022], [-37.8006354, 176.3989094]]",,"[[-37.8204305, 176.4775971], [-37.6584904, 176.1859176]]",,,"[[-37.8254786, 176.4121509], [-37.7855376, 176.3306798]]","[[-37.8385775, 176.3989236], [-37.7840279, 176.314158]]",,"[[-37.7799767, 176.3929219], [-37.8385775, 176.3989236]]","[[-37.79838, 176.3217835], [-37.8676569, 176.5209933]]",,
,,,"[[-37.8771966, 176.529182], [-37.8139476, 176.4566196]]",,,,,,"[[-37.8385775, 176.3989236], [-37.8052012, 176.3511064]]",,"[[-37.8248507, 176.4137746], [-37.6656117, 176.1971844]]",,,"[[-37.8470681, 176.4935989], [-37.7843189, 176.3266607]]","[[-37.8248507, 176.4137746], [-37.763311, 176.2993915]]",,"[[-37.8171003, 176.4191642], [-37.96837, 176.4564748]]","[[-37.7841889, 176.3267558], [-37.8216085, 176.4117037]]",,
,,,"[[-37.8992575, 176.5513958], [-37.8238169, 176.4730639]]",,,,,,"[[-37.8171003, 176.4191642], [-37.8677863, 176.3365274]]",,"[[-37.8771966, 176.529182], [-37.6688038, 176.187116]]",,,"[[-37.8853328, 176.549601], [-37.8035731, 176.3152563]]","[[-37.8454164, 176.4842073], [-37.7844796, 176.308048]]",,"[[-37.7905562, 176.3444471], [-37.8139476, 176.4566196]]","[[-37.7993319, 176.3202801], [-37.8387543, 176.4736138]]",,
,,,"[[-37.8181795, 176.4121079], [-37.8497381, 176.4271326]]",,,,,,"[[-37.9421527, 176.4155608], [-37.8215542, 176.4114063]]",,"[[-37.8181795, 176.4121079], [-37.6620337, 176.1861697]]",,,"[[-37.8271759, 176.4369245], [-37.7850141, 176.3285909]]","[[-37.8241838, 176.4144632], [-37.7813475, 176.3043079]]",,"[[-37.8205743, 176.3747346], [-37.8248478, 176.4127553]]","[[-37.7849249, 176.3246058], [-37.9404661, 176.491225]]",,
,,,"[[-37.8424402, 176.5331189], [-37.8139476, 176.4566196]]",,,,,,"[[-37.96837, 176.4564748], [-37.9551111, 176.1757759]]",,"[[-37.8160768, 176.5134544], [-37.6658242, 176.2072405]]",,,"[[-37.8811169, 176.5759027], [-37.7940541, 176.3223924]]","[[-37.8229848, 176.4855823], [-37.7916619, 176.3014843]]",,"[[-37.8582027, 176.3519596], [-37.796122, 176.4812288]]","[[-37.783005, 176.3317909], [-37.7874085, 176.4942984]]",,
,,,"[[-37.8162627, 176.4143692], [-37.8248507, 176.4137746]]",,,,,,"[[-38.0137586, 176.5754648], [-37.7931205, 176.3416895]]",,"[[-37.8368006, 176.4752142], [-37.6571224, 176.1903585]]",,,"[[-37.9464163, 176.5088435], [-37.7898999, 176.3156112]]","[[-37.8216108, 176.4155869], [-37.7758499, 176.3089544]]",,"[[-37.8942114, 176.2872574], [-37.8509852, 176.422804]]","[[-37.7834051, 176.3246524], [-37.8248507, 176.4137746]]",,
,,,"[[-37.9782795, 176.5651275], [-37.8215941, 176.5490969]]",,,,,,"[[-37.8157909, 176.5138564], [-37.8435692, 176.3254555]]",,"[[-37.9034589, 176.4162829], [-37.6581007, 176.1977904]]",,,"[[-37.839119, 176.5592824], [-37.7906105, 176.3295503]]","[[-37.8127294, 176.4082365], [-37.763311, 176.2993915]]",,"[[-37.757979, 176.3666086], [-37.8676569, 176.5209933]]","[[-37.7877986, 176.324752], [-37.8248507, 176.4137746]]",,
,,,"[[-37.8611798, 176.5684664], [-37.9494975, 176.5395485]]",,,,,,"[[-37.7909565, 176.46572], [-37.7985897, 176.3521773]]",,"[[-37.8673567, 176.5258971], [-37.6452485, 176.1876197]]",,,"[[-37.8159717, 176.5140182], [-37.7858352, 176.3273035]]","[[-37.7874085, 176.4942984], [-37.7814066, 176.3115293]]",,"[[-37.8006354, 176.3989094], [-37.8458518, 176.4531546]]","[[-37.7889809, 176.3352137], [-37.9889056, 176.5037108]]",,
